Year,DOY,Species,Fgroup,Cond_night,Trmmol_night,Photo,Cond_day,Trmmol_day,Percent_cond,Percent_trmmol,PD,MD,Soil_moisture,TAIR_N,VPD_N,TAIR_D,VPD_D,
2014,184,RG,woody,0.107237644,1.68583298,18.35265206,0.268353177,8.26142122,39.96138406,20.40608916,-0.7,-1.7,0.101,16.94,0.503768136,23.82,1.695327581,
2014,184,RG,woody,0.041874437,0.651746214,21.93321996,0.351312204,9.771353702,11.91943707,6.669968497,-0.6,-1.4,0.101,16.94,0.503768136,23.82,1.695327581,
2014,184,RG,woody,0.027366076,0.408458608,16.32319956,0.211416989,8.615002185,12.94412368,4.741247871,-0.8,-1.4,0.101,16.94,0.503768136,23.82,1.695327581,
2014,198,AG,grass,0.025431779,0.451452145,20.47781088,0.188343668,5.817486126,13.50285859,7.760261646,-1.05,-1.85,0.076,16.34,0.358095229,21.97,1.463147694,
2014,198,AG,grass,0.000390938,0.006675369,22.30071868,0.103866726,4.66552487,0.37638395,0.143078623,-0.7,-1.5,0.076,16.34,0.358095229,21.97,1.463147694,
2014,198,AG,grass,0.022270692,0.355334874,18.56750335,0.110246673,5.127890216,20.20078351,6.929455564,-0.45,-2,0.076,16.34,0.358095229,21.97,1.463147694,
2014,198,CD,woody,0.027912491,0.458985179,6.713927331,0.073502704,2.098962809,37.97478053,21.86723732,-0.85,-1.9,0.076,16.34,0.358095229,21.97,1.463147694,
2014,198,CD,woody,0.025258547,0.348232591,10.21185439,0.105223025,4.438320915,24.00477132,7.846043527,-0.6,-1.65,0.076,16.34,0.358095229,21.97,1.463147694,
2014,198,CD,woody,0.029825916,0.404201091,16.4541804,0.202330553,5.981039071,14.74118266,6.758041315,-0.8,-1.65,0.076,16.34,0.358095229,21.97,1.463147694,
2014,198,SC,forb,0.014736708,0.250695433,16.19973467,0.18918948,5.420989389,7.789390668,4.624532804,-0.35,-0.6,0.076,16.34,0.358095229,21.97,1.463147694,
2014,198,SC,forb,0.013834477,0.242254039,7.673347901,0.068476026,1.806848844,20.20338768,13.40754317,-0.6,-0.4,0.076,16.34,0.358095229,21.97,1.463147694,
2014,198,SC,forb,0,0,6.45483822,0.069567401,2.985065671,0,0,-0.4,-1,0.076,16.34,0.358095229,21.97,1.463147694,
2014,198,SN,grass,0.040124728,0.727066077,23.0615492,0.132148151,3.929591842,30.36344269,18.50233067,-0.3,-1.7,0.076,16.34,0.358095229,21.97,1.463147694,
